country,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,1.9,,,2.3,,,,,,,,1.8,,,,,,,,,,2.4,,,,,3,2.9,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,3.7,3.6,3.9,3.2,3.5,3.1,3.1,3.5,3.9,3.5,4.2,4,4,4.4,4.1,4.4,4.3,4.3,4.1,4,4.1,4.4,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,4,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,2.7,,2.7,,2.7,,2.8,,2.5,2.5,2.7,2.9,3.1,2.9,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,3.3,3.5,,,3.2,3.2,3.7,3.6,4.1,3.7,4,3.8,3.8,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,3.4,,,,,3.7,,,,,3.3,,,,,3.2,,,,,,3,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,3.2,,2.9,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,3.7,,,,,3.4,,,,,,,3,,,,3,,,3.3,,,3,,,,3,,,3.1,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0.6,,,,,,,,1.2,,,,,,,,,,,,,,,1.7,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.2,2.3,2.4,2.3,1.8,2.3,2.6,2.4,2.5,2.1,2.1,2,2.1,2.3,2.7,2.7,2.6,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,4.1,3.9,3.9,4,4,4.1,4,4.1,4.2,3.8,3.8,3.6,3.5,3.5,3.5,3.6,3.5,3.7,3.3,3.3,3.3,3.3,3.4,3.2,3.3,3.3,3.2,3,3.1,3.2,2.9,2.9,2.5,2.5,2.9,2.8,2.8,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2,2.4,2.3,2.1,2,2.1,2.3,2.3,2.3,2.3,2.5,2.5,2.3,2.5,2.6,2.5,2.6,,
Morocco,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,2.7,,,,,,,,2.6,,2.6,,,,,,2.6,,,,,,,2.7,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.2,2.3,2.7,2.6,2.8,3.1,3,2.8,2.8,3,2.9,3.1,3.3,3.5,3.8,3.9,4.2,4.1,4.3,4.3,4.4,4.3,,4.3,,
Madagascar,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,2.4,,2.5,,1.9,,,,2.7,,,,,2.4,,2.2,,,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,2.5,,,,,,,3.4,,,3.8,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,1.4,,1.3,,1.4,,1.2,,1.2,,1.5,,1.4,1.3,1.5,,1.4,,1.6,,1.6,,1.7,,1.9,,1.9,,2,,2.1,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.9,1.2,1.5,1.9,1.9,1.7,1.8,1.7,2,1.9,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,2.5,,,,,2.5,,,3.3,,,,,,,,,3.2,,,3.2,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.2,3.5,3.3,3.4,3.5,3.4,3.5,3.5,3.4,3.5,3.4,3.5,3.2,3.1,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3.8,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.7,1.8,1.8,1.7,1.6,1.8,2.1,2.1,2.1,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,3,,,,3,,,,,3,,,3.2,3.2,3.1,,3.3,,3.3,,3.3,,,,3.4,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,2.2,,,,,,2,,,,,,1.6,,,,,1.7,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,2.1,,2.4,,,,,2.5,,,,2.6,,,,2.6,,,,,,3,,,,,3.1,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,2.8,,,,,2.9,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,2.9,,,,,,2.2,,,,,,2.6,,,2.9,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,1.8,,,2,,2.1,,,1.9,,,1.8,,1.7,,,,,,1.8,,,1.9,,1.8,,,2,,2.3,,2.3,,,2.3,,,2.3,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,1.3,,,,,,1,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,2.4,,,,,,,,,,,2.3,,3.2,,,,3.8,,,3.2,,,,3.2,,,3.8,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,1.4,,,,1.3,,,,,,,2.1,,,,,,,2.9,,2.9,,,2.8,,,2.9,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,1,,,1.4,,,,1.9,,,,2,,,,,2,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,3.3,,,,4.2,,,3.3,,,2.8,,,,,,3.8,,,,,3.2,3.5,3.5,3.5,3.4,3.6,3.6,3.6,3.7,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.6,3.6,,
Norway,,,,,,,,,,,,,,,,,4,,,,,,,4.4,,,,,4.3,,,,4,,,,,4.1,,,3.8,3.5,3.5,3.5,3.7,3.5,3.7,3.7,3.8,3.7,3.7,3.5,3.5,3.2,3.3,3.4,3.4,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,2.7,,,,,,,3.5,,,,,,,,,,,,3.7,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,3.4,,,,,,4.4,,3.7,,,4.3,,,3.9,4.1,,4.3,,,4.3,4.3,,4.2,,4.1,,,4.2,,,,,
Panama,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,0.2,,0.2,,,,0.2,,0.3,0.3,0.4,0.5,0.5,0.8,0.7,0.8,0.8,0.7,1,1,1.2,1.1,1.1,1,1.1,1,1.1,1.1,1.1,1.2,1.2,,1.2,,1.2
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9,0.9,1.2,1.2,1.1,1.3,1.3,1.2,1.2,1.2,1.3,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.8,1.9,1.7,2.1,2.1,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,2.1,,,2,,,2.2,,,2.1,,,2.3,,,2.5,,,2.7,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,2.4,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.8,3,3.2,3.2,3.4,3.4,3.4,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,2.4,2.4,2.5,2.6,2.6,2.7,2.7,2.5,2.2,2.1,2.3,2.4,2.4,2.7,2.8,2.8,2.4,2.8,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,0.7,,0.7,,0.9,,1,1,1.2,1.4,1.3,1.3,1.2,1.5,1.4,1.3,1.2,1.5,1.6,1.4,1.6,1.6,1.8,1.7,1.8,2,2.1,1.8,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.9,3.2,2.8,,3.2,3.1,3.1,,,,,2.9,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.9,1.9,2.1,1.9,1.8,1.7,1.6,1.5,1.6,1.8,1.6,1.6,1.7,1.7,1.9,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.2,2.3,2.4,2.6,2.5,2.9,2.7,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1.7,,,,,2.3,,,2.4,,,2.4,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,,,3.2,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,2.9,,,,,,,2.7,,,,2.4,,,,,,2.3,,,,,,,3,,,3,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,2.8,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,3.3,,,,,,,3.4,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,0.7,,,,1.1,1.1,,0.5,0.6,1,0.9,0.9,0.7,1.1,1.2,1.7,1.9,1.7,1.8,1.9,2.1,2.2,2.1,2.2,2.4,2.3,2.5,2.4,2.4,,1.9,1.9,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,1.1,1.1,1.1,1.4,1.9,2.1,2.3,2.5,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,1.8,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,3.5,,,,,,,2.6,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.4,3.6,3.6,3.4,3.2,3.1,3.2,3.1,3,2.9,3,3,3.5,3.2,3.6,3.5,3.4,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4.1,4.1,4.2,4,3.9,3.9,3.7,3.6,3.8,3.9,4,4.1,4.2,4.2,4.2,4.2,,
Sweden,,,,,,,,,,,,,4.2,,,,,,4.1,,,,,,4.3,,,,,3.9,,,3.8,,,,,4,4,4,3.7,3.7,3.2,3.6,3.4,3.2,3.2,3.2,3.1,3.1,2.9,3.1,2.9,3,3,2.7,2.9,3,2.8,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,1.8,,,,,,,,,1.5,,,,,,,1.4,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,2.6,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,3,,,2.5,,,2.6,,,,,,,,,,,,,3.8,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,1.8,,,,,,,2.9,,,,2.8,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,1.9,,,,1.9,,,2.3,,,2.8,,
Thailand,,,,,,,,,,,,,,,,,,,2.3,,,,,,,2.7,,2.5,,2.3,,2.5,,2.6,,2.7,2.5,2.6,,2.6,,2.5,,2.5,2.7,2.7,2.7,2.7,3,2.8,2.9,3,3.2,3.1,3.1,3,3.3,3.2,3.2,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,3.3,3.2,,,2.6,,3.4,,,,,,3,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,4.1,,,,,,,4,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,2.7,,,,,,3.2,,,,,,4,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,2.3,,,,,2.3,,,,,2.4,,,,,2.5,,,,,2.6,,,,,3.2,,,,,,3.1,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.1,1.9,2,2,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,2.7,,,,,,,2.5,,,,3.1,,,,,,,2.9,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,2.5,,,,2.8,,,2.4,,,2.4,,,2.4,,,,2.3,,,2.5,,,,2.5,,,2.4,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,3.6,,2.5,2.8,,,,,,3.6,3.8,3.6,3.7,3.7,4,4.1,4.3,4.4,4.4,4.4,4.4,4.5,4.2,4.3,4.2,4.3,4.1,4.3,,,
Uruguay,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,1.9,,,2,,,2,2,2,1.9,,1.9,1.8,1.8,2,1.8,1.8,1.9,1.9,1.9,1.8,2,2,2.1,2.1,2.1,2.1,2.2,2.3,2.3,2.3,2.2,2.2,2.2,
USA,1.9,1.9,1.9,1.9,2,2.1,2.2,2,2.1,2,2,2.1,2.1,2.1,2.2,2.2,2.3,2.4,2.3,2.1,2,2,2,2,2,2,2,2,2,2,1.9,1.9,2,2,2,1.9,2,2,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,1.8,1.8,2,2.3,1.8,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,2.8,,3.3,2.9,,,,,,,,,,,,,,,,,,,2.5,
Venezuela,,,,,,,,,,,,,,,,,,,1.2,,,,,,1.3,,1.4,,,1.6,,,1.3,,,1,1.1,,1.2,0.9,0.9,0.9,0.6,1.2,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,3.3,,,,,3.2,,2.9,,2.9,,3,,2.5,,2.8,,2.7,,2.6,,2.5,,2.5,,2.6,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,3,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,2.7,,,,,2.7,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,3.3,,,,,,,,,3,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,1.3,,,,,1,,,1,,0.9,,,,0.9,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,1.1,,,1.7,,1.6,,,,2.4,,1.4,,1.4,,,,1.6,,,,,1.2,,,,,,,1.5,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,2.5,,,,,,
